,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Symbol,Name,Stock Sector,Industry Name,Market Cap (m),Dividend Yield (%),Last (Close),Unnamed: 7
0,Assets,1753.84,1929.30,1857.46,1766.51,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
1,Liabilities,704.23,649.00,543.27,388.84,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
2,Equity,1052.94,1281.84,1315.88,1379.55,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
3,Paid-up Capital,300.00,400.00,450.00,450.00,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
4,Revenue,3946.83,4539.01,5462.98,5413.94,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
5,Net Profit,343.07,284.71,105.55,133.38,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
6,EPS (Baht),1.14,0.71,0.23,0.30,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
7,ROA(%),29.69,20.07,7.67,9.38,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
8,ROE(%),37.78,24.39,8.13,9.90,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
9,Net Profit Margin(%),8.69,6.27,1.93,2.46,,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
10,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
11,Last Price(Baht),6.85,5.00,2.30,2.00,1.83,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
12,Market Cap.,2055.00,2000.00,1035.00,900.00,823.50,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
13,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
14,P/E,7.53,6.83,5.61,7.93,6.17,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
15,P/BV,2.11,1.65,0.78,0.66,0.60,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
16,Book Value per share (Baht),3.25,3.04,2.95,3.04,3.07,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
17,Dvd. Yield(%),1.46,2.70,6.18,7.00,7.65,2S,2S Metal PCL,Basic Materials,Steel,899.998,7,2,THB
18,Assets,8495.71,8549.02,9115.71,8672.14,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
19,Liabilities,5204.09,5037.65,5706.18,5076.32,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
20,Equity,3291.62,3511.37,3409.53,3595.82,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
21,Paid-up Capital,399.44,399.44,399.44,399.44,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
22,Revenue,7032.50,7879.44,7922.87,7083.89,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
23,Net Profit,121.25,443.44,17.98,236.17,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
24,EPS (Baht),0.30,1.11,0.05,0.59,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
25,ROA(%),2.58,6.27,1.15,3.80,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
26,ROE(%),3.76,13.04,0.52,6.74,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
27,Net Profit Margin(%),1.72,5.63,0.23,3.33,,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
28,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
29,Last Price(Baht),11.40,12.00,8.15,8.25,9.75,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
30,Market Cap.,4553.61,4793.27,3255.43,3295.37,3894.53,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
31,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AJ,A J Plast PCL,Consumer Cyclical,Packaging & Containers,3295.374,1.21,8.25,THB
